id,marka,model,buraxilish_ili,sheher,qiymet,reng,yurush,muherrik_hecmi,at_gucu,benzin_tipi,suretler_qutusu,yeni,veziyyeti,elana_baxish_sayi
8744109,Mercedes,E 220 d,2018,Bakı,60860,Yaş Asfalt,99500,2.0,194,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",374
8736651,Mercedes,CLA 200 4MATIC,2015,Bakı,28777,Qara,130900,2.0,136,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2366
8688548,Mercedes,E 240,2000,Saatlı,14000,Gümüşü,170876,2.6,170,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1948
8751267,Mercedes,E 200,1998,Bakı,135000,Gümüşü,260000,2.0,136,Benzin,Avtomat,Xeyr,"Vuruğu var, rənglənməyib",130
8676814,Mercedes,E 300 e,2021,Bakı,93121,Ağ,31900,2.0,320,Plug-in Hibrid,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",4383
8471128,Mercedes,GLE 43 AMG 4MATIC Coupe,2017,Bakı,79521,Yaş Asfalt,141700,3.0,390,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1230
8723278,Mercedes,GLA 250 4MATIC,2018,Bakı,60000,Ağ,33000,2.0,211,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2733
8751266,Mercedes,C 200,1996,Gəncə,7600,Göy,200000,2.0,136,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",527
8751250,Mercedes,Vito 111,2009,Bakı,26800,Ağ,353675,2.2,116,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",83
8721690,Mercedes,E 200 d,2013,Bakı,40200,Qara,344750,2.2,136,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1283
